Zip_Code,CountyID,County_Name
98607,53011,Clark County
98607,53011,Clark County
98326,53009,Clallam County
98357,53009,Clallam County
98381,53009,Clallam County
98357,53009,Clallam County
98323,53053,Pierce County
98826,53007,Chelan County
98847,53007,Chelan County
98826,53007,Chelan County
98826,53007,Chelan County
98826,53007,Chelan County
98826,53007,Chelan County
98815,53007,Chelan County
98815,53007,Chelan County
98815,53007,Chelan County
98611,53015,Cowlitz County
98611,53015,Cowlitz County
98611,53015,Cowlitz County
98613,53039,Klickitat County
98311,53035,Kitsap County
98383,53035,Kitsap County
98383,53035,Kitsap County
98383,53035,Kitsap County
98383,53035,Kitsap County
98311,53035,Kitsap County
98310,53035,Kitsap County
98312,53035,Kitsap County
98383,53035,Kitsap County
98312,53035,Kitsap County
98383,53035,Kitsap County
98311,53035,Kitsap County
98311,53035,Kitsap County
98383,53035,Kitsap County
98383,53035,Kitsap County
98383,53035,Kitsap County
98383,53035,Kitsap County
98383,53035,Kitsap County
98383,53035,Kitsap County
98311,53035,Kitsap County
98311,53035,Kitsap County
99037,53063,Spokane County
99216,53063,Spokane County
99206,53063,Spokane County
99206,53063,Spokane County
99037,53063,Spokane County
99206,53063,Spokane County
99206,53063,Spokane County
99016,53063,Spokane County
99016,53063,Spokane County
99216,53063,Spokane County
99206,53063,Spokane County
99206,53063,Spokane County
99037,53063,Spokane County
99206,53063,Spokane County
99037,53063,Spokane County
99206,53063,Spokane County
99216,53063,Spokane County
99206,53063,Spokane County
99206,53063,Spokane County
99206,53063,Spokane County
99019,53063,Spokane County
99037,53063,Spokane County
99206,53063,Spokane County
99019,53063,Spokane County
99216,53063,Spokane County
99037,53063,Spokane County
99206,53063,Spokane County
99016,53063,Spokane County
99019,53063,Spokane County
98531,53041,Lewis County
98531,53041,Lewis County
98531,53041,Lewis County
98531,53041,Lewis County
98531,53041,Lewis County
98531,53041,Lewis County
98531,53041,Lewis County
98531,53041,Lewis County
98531,53041,Lewis County
98532,53041,Lewis County
98532,53041,Lewis County
98532,53041,Lewis County
98532,53041,Lewis County
98532,53041,Lewis County
98532,53041,Lewis County
98532,53041,Lewis County
98532,53041,Lewis County
98532,53041,Lewis County
98816,53007,Chelan County
98816,53007,Chelan County
98816,53007,Chelan County
98816,53007,Chelan County
98816,53007,Chelan County
98816,53007,Chelan County
99004,53063,Spokane County
99004,53063,Spokane County
99004,53063,Spokane County
99004,53063,Spokane County
99001,53063,Spokane County
99224,53063,Spokane County
99004,53063,Spokane County
99004,53063,Spokane County
99004,53063,Spokane County
99004,53063,Spokane County
99224,53063,Spokane County
99004,53063,Spokane County
99109,53065,Stevens County
99109,53065,Stevens County
99109,53065,Stevens County
99109,53065,Stevens County
98325,53031,Jefferson County
98325,53031,Jefferson County
98325,53031,Jefferson County
98325,53031,Jefferson County
98339,53031,Jefferson County
98325,53031,Jefferson County
99403,53003,Asotin County
99403,53003,Asotin County
99403,53003,Asotin County
99403,53003,Asotin County
99403,53003,Asotin County
99403,53003,Asotin County
99403,53003,Asotin County
99403,53003,Asotin County
99403,53003,Asotin County
98922,53037,Kittitas County
98922,53037,Kittitas County
98922,53037,Kittitas County
98941,53037,Kittitas County
98331,53031,Jefferson County
98498,53053,Pierce County
98433,53053,Pierce County
98439,53053,Pierce County
98499,53053,Pierce County
98498,53053,Pierce County
98499,53053,Pierce County
98433,53053,Pierce County
98498,53053,Pierce County
98498,53053,Pierce County
98498,53053,Pierce County
98498,53053,Pierce County
98499,53053,Pierce County
98499,53053,Pierce County
98498,53053,Pierce County
98498,53053,Pierce County
98499,53053,Pierce County
98498,53053,Pierce County
98439,53053,Pierce County
98498,53053,Pierce County
98433,53053,Pierce County
98499,53053,Pierce County
98499,53053,Pierce County
98499,53053,Pierce County
98499,53053,Pierce County
98439,53053,Pierce County
98498,53053,Pierce County
98498,53053,Pierce County
98498,53053,Pierce County
98433,53053,Pierce County
98433,53053,Pierce County
98499,53053,Pierce County
98499,53053,Pierce County
98499,53053,Pierce County
99111,53075,Whitman County
99111,53075,Whitman County
99324,53071,Walla Walla County
99324,53071,Walla Walla County
99362,53071,Walla Walla County
99113,53075,Whitman County
99137,53065,Stevens County
99137,53065,Stevens County
99323,53071,Walla Walla County
99323,53071,Walla Walla County
99323,53071,Walla Walla County
99114,53065,Stevens County
99114,53065,Stevens County
99114,53065,Stevens County
99114,53065,Stevens County
99114,53065,Stevens County
98237,53057,Skagit County
98237,53057,Skagit County
98237,53057,Skagit County
98237,53057,Skagit County
98237,53057,Skagit County
98274,53057,Skagit County
98537,53027,Grays Harbor County
98239,53029,Island County
98239,53029,Island County
98239,53029,Island County
98277,53029,Island County
98239,53029,Island County
98239,53029,Island County
98239,53029,Island County
98363,53009,Clallam County
98362,53009,Clallam County
99117,53043,Lincoln County
99117,53043,Lincoln County
99118,53019,Ferry County
99118,53019,Ferry County
99119,53051,Pend Oreille County
99119,53051,Pend Oreille County
98926,53037,Kittitas County
98241,53061,Snohomish County
98241,53061,Snohomish County
99122,53043,Lincoln County
99122,53043,Lincoln County
99328,53013,Columbia County
99328,53013,Columbia County
99328,53013,Columbia County
99006,53063,Spokane County
99006,53063,Spokane County
99006,53063,Spokane County
99006,53063,Spokane County
99006,53063,Spokane County
99006,53063,Spokane County
99006,53063,Spokane County
98391,53053,Pierce County
98391,53053,Pierce County
98391,53053,Pierce County
99329,53071,Walla Walla County
99216,53063,Spokane County
99027,53063,Spokane County
99206,53063,Spokane County
99216,53063,Spokane County
99025,53063,Spokane County
99216,53063,Spokane County
99216,53063,Spokane County
99216,53063,Spokane County
99216,53063,Spokane County
99216,53063,Spokane County
98802,53017,Douglas County
98802,53017,Douglas County
98802,53017,Douglas County
98802,53017,Douglas County
98802,53017,Douglas County
98850,53017,Douglas County
98802,53017,Douglas County
98802,53017,Douglas County
98802,53017,Douglas County
98802,53017,Douglas County
98802,53017,Douglas County
98802,53017,Douglas County
98925,53037,Kittitas County
98925,53037,Kittitas County
98304,53053,Pierce County
98328,53053,Pierce County
98328,53053,Pierce County
98328,53053,Pierce County
98328,53053,Pierce County
98328,53053,Pierce County
98328,53053,Pierce County
98328,53053,Pierce County
98037,53061,Snohomish County
98037,53061,Snohomish County
98036,53061,Snohomish County
98036,53061,Snohomish County
98036,53061,Snohomish County
98043,53061,Snohomish County
98020,53061,Snohomish County
98036,53061,Snohomish County
98036,53061,Snohomish County
98020,53061,Snohomish County
98036,53061,Snohomish County
98036,53061,Snohomish County
98020,53061,Snohomish County
98036,53061,Snohomish County
98012,53061,Snohomish County
98020,53061,Snohomish County
98020,53061,Snohomish County
98037,53061,Snohomish County
98037,53061,Snohomish County
98037,53061,Snohomish County
98020,53061,Snohomish County
98043,53061,Snohomish County
98037,53061,Snohomish County
98026,53061,Snohomish County
98020,53061,Snohomish County
98037,53061,Snohomish County
98020,53061,Snohomish County
98043,53061,Snohomish County
98037,53061,Snohomish County
98036,53061,Snohomish County
98036,53061,Snohomish County
98043,53061,Snohomish County
98020,53061,Snohomish County
98036,53061,Snohomish County
98026,53061,Snohomish County
98026,53061,Snohomish County
98036,53061,Snohomish County
98020,53061,Snohomish County
98036,53061,Snohomish County
98926,53037,Kittitas County
98926,53037,Kittitas County
98926,53037,Kittitas County
98926,53037,Kittitas County
98936,53037,Kittitas County
98926,53037,Kittitas County
98926,53037,Kittitas County
98541,53027,Grays Harbor County
98541,53027,Grays Harbor County
98541,53027,Grays Harbor County
98541,53027,Grays Harbor County
98541,53027,Grays Harbor County
99125,53075,Whitman County
98822,53007,Chelan County
98822,53007,Chelan County
98823,53025,Grant County
98823,53025,Grant County
98823,53025,Grant County
98823,53025,Grant County
98823,53025,Grant County
98823,53025,Grant County
98823,53025,Grant County
98823,53025,Grant County
98823,53025,Grant County
98596,53041,Lewis County
98203,53061,Snohomish County
98208,53061,Snohomish County
98208,53061,Snohomish County
98201,53061,Snohomish County
98203,53061,Snohomish County
98201,53061,Snohomish County
98201,53061,Snohomish County
98201,53061,Snohomish County
98201,53061,Snohomish County
98208,53061,Snohomish County
98203,53061,Snohomish County
98203,53061,Snohomish County
98208,53061,Snohomish County
98208,53061,Snohomish County
98203,53061,Snohomish County
98201,53061,Snohomish County
98208,53061,Snohomish County
98012,53061,Snohomish County
98201,53061,Snohomish County
98012,53061,Snohomish County
98208,53061,Snohomish County
98012,53061,Snohomish County
98012,53061,Snohomish County
98012,53061,Snohomish County
98223,53061,Snohomish County
98208,53061,Snohomish County
98201,53061,Snohomish County
98201,53061,Snohomish County
