NAME,STREET,CITY,STATE,ZIP,NMCNTY,LAT,LON,NMCBSA,NMCSA
NEWESD 101 Open Doors,901 E. 2nd Avenue Suite 100,Spokane,WA,99202,Spokane County,47.65497,-117.396531,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
GRAVITY High School,6005 Tyee Dr. SW,Tumwater,WA,98512,Thurston County,46.994626,-122.91663,"Olympia-Tumwater, WA","Seattle-Tacoma, WA"
Walla Walla County Juvenile Detention,455 W. Rose Street,WALLA WALLA,WA,99362,Walla Walla County,46.06501,-118.3458,"Walla Walla, WA",N
Ugrad ? ESD123 Re-Engagement Program,3918 West Court Street,Pasco,WA,99301,Franklin County,46.24104,-119.142501,"Kennewick-Richland, WA",N
Bates Technical High School,1101 South Yakima Avenue,Tacoma,WA,98405,Pierce County,47.251928,-122.446876,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Bates Technical College - Open Doors,1101 South Yakima Ave.,Tacoma,WA,98405,Pierce County,47.25196,-122.446491,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Washington State School for the Deaf,611 Grand Blvd,Vancouver,WA,98661,Clark County,45.625343,-122.639837,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
Garrett Heyns High School,2321 W Dayton Airport Rd,Shelton,WA,98584,Mason County,47.238433,-123.194599,"Shelton, WA","Seattle-Tacoma, WA"
Northwest Career and Technical High School,4500 Steilacoom Blvd SW,Lakewood,WA,98499,Pierce County,47.175797,-122.4971,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
A J West Elementary,1801 Bay Ave.,Aberdeen,WA,98520,Grays Harbor County,46.972045,-123.837911,"Aberdeen, WA",N
Harbor High School,300 N. Williams,Aberdeen,WA,98520,Grays Harbor County,46.972837,-123.831998,"Aberdeen, WA",N
Central Park Elementary,601 School Road,Aberdeen,WA,98520,Grays Harbor County,46.967478,-123.697427,"Aberdeen, WA",N
J M Weatherwax High School,410 North G Street,Aberdeen,WA,98520,Grays Harbor County,46.979774,-123.817611,"Aberdeen, WA",N
McDermoth Elementary,409 North K St,Aberdeen,WA,98520,Grays Harbor County,46.977101,-123.82346,"Aberdeen, WA",N
Miller Junior High,100 E Lindstrom,Aberdeen,WA,98520,Grays Harbor County,46.963593,-123.792196,"Aberdeen, WA",N
Robert Gray Elementary,1516 North B St,Aberdeen,WA,98520,Grays Harbor County,46.986526,-123.813271,"Aberdeen, WA",N
Stevens Elementary School,301 S. Farragut,Aberdeen,WA,98520,Grays Harbor County,46.966855,-123.789524,"Aberdeen, WA",N
Grays Harbor Juvenile Detention,103 Junction City Rd.,Aberdeen,WA,98520,Grays Harbor County,46.97735,-123.779241,"Aberdeen, WA",N
Hopkins Elementary,1313 Pacific,Aberdeen,WA,98520,Grays Harbor County,46.972932,-123.831371,"Aberdeen, WA",N
Twin Harbors - A Branch of New Market Skills Center,410 North G Street,Aberdeen,WA,98520,Grays Harbor County,46.980108,-123.817995,"Aberdeen, WA",N
Adna Elementary School,220 Dieckman Rd.,Chehalis,WA,98532,Lewis County,46.638392,-123.059406,"Centralia, WA","Seattle-Tacoma, WA"
Adna Middle/High School,121 Adna School Rd.,Chehalis,WA,98532,Lewis County,46.630294,-123.056809,"Centralia, WA","Seattle-Tacoma, WA"
Almira Elementary School,310 S 3RD ST,ALMIRA,WA,99103,Lincoln County,47.707336,-118.941202,N,N
Anacortes Middle School,2202 M Avenue,Anacortes,WA,98221,Skagit County,48.503561,-122.618184,"Mount Vernon-Anacortes, WA","Seattle-Tacoma, WA"
Anacortes High School,1600 20th Street,Anacortes,WA,98221,Skagit County,48.507146,-122.622559,"Mount Vernon-Anacortes, WA","Seattle-Tacoma, WA"
Fidalgo Elementary,13590 Gibralter Road,Anacortes,WA,98221,Skagit County,48.446699,-122.582681,"Mount Vernon-Anacortes, WA","Seattle-Tacoma, WA"
Island View Elementary,2501 J Avenue,Anacortes,WA,98221,Skagit County,48.501743,-122.62116,"Mount Vernon-Anacortes, WA","Seattle-Tacoma, WA"
Mount Erie Elementary,1313 41st Street,Anacortes,WA,98221,Skagit County,48.487174,-122.618719,"Mount Vernon-Anacortes, WA","Seattle-Tacoma, WA"
Whitney Elementary Anacortes,1200 M Avenue,Anacortes,WA,98221,Skagit County,48.512097,-122.617767,"Mount Vernon-Anacortes, WA","Seattle-Tacoma, WA"
Cap Sante High School,1600 20th Street,Anacortes,WA,98221,Skagit County,48.507401,-122.622583,"Mount Vernon-Anacortes, WA","Seattle-Tacoma, WA"
Arlington High School,18821 Crown Ridge Blvd,Arlington,WA,98223,Snohomish County,48.166233,-122.114976,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Post Middle School,1220 E. 5th St,Arlington,WA,98223,Snohomish County,48.196503,-122.111399,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Kent Prairie Elementary,8110 207th St NE,Arlington,WA,98223,Snohomish County,48.183561,-122.119484,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Presidents Elementary,505 East Third,Arlington,WA,98223,Snohomish County,48.195529,-122.120315,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Weston High School,4407 172nd Street NE,Arlington,WA,98223,Snohomish County,48.153058,-122.173033,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Eagle Creek Elementary,1216 E 5th,Arlington,WA,98223,Snohomish County,48.194027,-122.112266,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Stillaguamish School,1215 E 5th,Arlington,WA,98223,Snohomish County,48.197636,-122.114545,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Pioneer Elementary,8213 Eaglefield Dr,Arlington,WA,98223,Snohomish County,48.165605,-122.120555,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Haller Middle School,600 E. First,Arlington,WA,98223,Snohomish County,48.191618,-122.121039,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Arlington Special Educ School,315 N French Ave,Arlington,WA,98223,Snohomish County,48.195732,-122.122049,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Arlington Open Doors,4407 172nd ST NE,Arlington,WA,98223,Snohomish County,48.15591,-122.166881,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Asotin Elementary,314 1ST ST,ASOTIN,WA,99402,Asotin County,46.340527,-117.051222,"Lewiston, ID-WA",N
Asotin Jr Sr High,215 SECOND STREET,ASOTIN,WA,99402,Asotin County,46.340227,-117.051767,"Lewiston, ID-WA",N
Alpac Elementary School,310 MILWAUKEE BLVD N,PACIFIC,WA,98047,King County,47.271044,-122.248972,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
West Auburn Senior High School,401 W MAIN ST,AUBURN,WA,98001,King County,47.308105,-122.234821,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Auburn Senior High School,711 E MAIN ST,AUBURN,WA,98002,King County,47.30921,-122.221051,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Cascade Middle School,1015 24TH ST NE,AUBURN,WA,98002,King County,47.329342,-122.214815,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Chinook Elementary School,3502 AUBURN WAY S,AUBURN,WA,98092,King County,47.289715,-122.18142,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Evergreen Heights Elementary,5602 S 316TH ST,AUBURN,WA,98001,King County,47.319367,-122.264111,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Lea Hill Elementary School,30908 124TH AVE SE,AUBURN,WA,98092,King County,47.324924,-122.175372,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Dick Scobee Elementary School,1031 14TH ST NE,AUBURN,WA,98002,King County,47.320758,-122.216203,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Olympic Middle School,1825 K ST SE,AUBURN,WA,98002,King County,47.292278,-122.217056,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
