NAME,STREET,CITY,STATE,ZIP,NMCNTY,LAT,LON,NMCBSA,NMCSA
Clear Creek Elementary School,12901 Winter Creek Ave NW,SILVERDALE,WA,98383,Kitsap County,47.683722,-122.702013,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Cottonwood Elementary School,330 FOSTER RD NE,SILVERDALE,WA,98383,Kitsap County,47.64277,-122.646098,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Esquire Hills Elementary,2650 NE John Carlson RD,Bremerton,WA,98311,Kitsap County,47.633112,-122.61498,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Fairview Middle School,8107 CENTRAL VALLEY RD NW,BREMERTON,WA,98310,Kitsap County,47.636867,-122.651456,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
John D. ?Bud? Hawk Elementary at Jackson Park,2900 AUSTIN DR,BREMERTON,WA,98312,Kitsap County,47.592759,-122.696343,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Alternative High School,10120 FRONTIER PL NW,SILVERDALE,WA,98383,Kitsap County,47.653944,-122.702646,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Green Mountain Elementary,3860 BOUNDARY TRAIL NW,BREMERTON,WA,98312,Kitsap County,47.598641,-122.819786,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Emerald Heights Elementary,NW PINNACLE CT,SILVERDALE,WA,98383,Kitsap County,47.674817,-122.664953,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Woodlands Elementary,7420 CENTRAL VALLEY RD NE,BREMERTON,WA,98311,Kitsap County,47.629871,-122.647759,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Olympic High School,7077 STAMPEDE BLVD NW,BREMERTON,WA,98311,Kitsap County,47.625746,-122.665104,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Silverdale Elementary,9100 DICKEY RD NW,SILVERDALE,WA,98383,Kitsap County,47.643759,-122.717571,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Ridgetop Middle School,10600 HILLSBORO DR,SILVERDALE,WA,98383,Kitsap County,47.658449,-122.668253,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Cougar Valley Elementary,13200 OLYMPIC VIEW RD NW,SILVERDALE,WA,98383,Kitsap County,47.682997,-122.725723,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Silver Ridge Elementary,10622 HILLSBORO DR NW,SILVERDALE,WA,98383,Kitsap County,47.658382,-122.666758,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Klahowya Secondary,7607 NW NEWBERRY HILL RD,SILVERDALE,WA,98383,Kitsap County,47.628699,-122.754187,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Off Campus,9210 SILVERDALE WAY,SILVERDALE,WA,98383,Kitsap County,47.646463,-122.697538,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Pinecrest Elementary,5530 PINE RD NE,BREMERTON,WA,98311,Kitsap County,47.613036,-122.636552,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Barker Creek Community School,1400 McWilliams Road,Bremerton,WA,98311,Kitsap County,47.622343,-122.631444,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Adams Elementary,14707 E 8th Ave,Spokane Valley,WA,99037,Spokane County,47.650124,-117.206288,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Summit School,13313 E Broadway Ave,Spokane Valley,WA,99216,Spokane County,47.66529,-117.224941,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Bowdish Middle School,2109 S Skipworth Rd,Spokane Valley,WA,99206,Spokane County,47.637363,-117.251905,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Broadway Elementary,11016 E Broadway Ave,Spokane Valley,WA,99206,Spokane County,47.663828,-117.25738,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Central Valley High School,821 S Sullivan Rd,Spokane Valley,WA,99037,Spokane County,47.649171,-117.193421,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Chester Elementary School,3525 S. Pines Road,Spokane Valley,WA,99206,Spokane County,47.623931,-117.238615,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Evergreen Middle School,10304 E 9th Ave,Spokane Valley,WA,99206,Spokane County,47.643029,-117.212879,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Greenacres Elementary,17915 E 4th Ave,Spokane Valley,WA,99016,Spokane County,47.653897,-117.163547,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Greenacres Middle School,17409 E Sprague Ave,Spokane Valley,WA,99016,Spokane County,47.658403,-117.16998,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
McDonald Elementary School,1512 S McDonald Rd,Spokane Valley,WA,99216,Spokane County,47.643003,-117.229728,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
North Pines Middle School,701 N Pines Rd,Spokane Valley,WA,99206,Spokane County,47.663482,-117.240629,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Opportunity Elementary,1109 S Wilbur Rd,Spokane Valley,WA,99206,Spokane County,47.646605,-117.247354,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Progress Elementary School,710 N Progress Rd,Spokane Valley,WA,99037,Spokane County,47.663772,-117.201386,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
South Pines Elementary,12021 E 24th Ave,Spokane Valley,WA,99206,Spokane County,47.635597,-117.242859,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Mica Peak High School,15111 E Sprague Ave,Spokane Valley,WA,99037,Spokane County,47.658481,-117.201206,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
University Elementary School,1613 S University Rd,Spokane Valley,WA,99206,Spokane County,47.64193,-117.260695,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
University High School,12420 E 32nd Ave,Spokane Valley,WA,99216,Spokane County,47.626736,-117.236962,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Ponderosa Elementary,10105 E Cimmaron Dr,Spokane Valley,WA,99206,Spokane County,47.619483,-117.269431,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Horizon Middle School,3915 S Pines Rd,Spokane Valley,WA,99206,Spokane County,47.621404,-117.237477,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Sunrise Elementary,10304 E 9th Ave,Spokane Valley,WA,99206,Spokane County,47.635855,-117.208623,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Liberty Lake Elementary,23606 E Boone Ave,Liberty Lake,WA,99019,Spokane County,47.666614,-117.087952,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
School to Life,15111 E Sprague Ave,Spokane Valley,WA,99037,Spokane County,47.658481,-117.201206,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Central Valley Early Learning Center,15111 E Sprague Ave,Spokane Valley,WA,99206,Spokane County,47.658481,-117.201206,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Central Valley Kindergarten Center,23909 E. Country Vista Drive,Liberty Lake,WA,99019,Spokane County,47.665595,-117.084179,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Spokane Valley Learning Academy,13313 E Broadway Ave,Spokane Valley,WA,99216,Spokane County,47.66529,-117.224941,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
I-TRACC,15111 E Sprague Ave,Spokane Valley,WA,99037,Spokane County,47.658481,-117.201206,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Spokane Valley Tech,115 S University Rd,Spokane Valley,WA,99206,Spokane County,47.65596,-117.260711,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
CVSD Open Doors Programs,19307 E Cataldo Ave,Spokane Valley,WA,99016,Spokane County,47.667704,-117.144179,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Liberty Creek Elementary School,2309 E Country Vista Drive,Liberty Lake,WA,99019,Spokane County,47.665656,-117.084139,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Centralia Middle School,901 Johnson Road,Centralia,WA,98531,Lewis County,46.726352,-122.982649,"Centralia, WA","Seattle-Tacoma, WA"
Centralia High School,813 Eshom Road,Centralia,WA,98531,Lewis County,46.726502,-123.002236,"Centralia, WA","Seattle-Tacoma, WA"
Edison Elementary,607 H Street,Centralia,WA,98531,Lewis County,46.722115,-122.959719,"Centralia, WA","Seattle-Tacoma, WA"
Fords Prairie Elementary,1620 Harrison Avenue,Centralia,WA,98531,Lewis County,46.735059,-122.988423,"Centralia, WA","Seattle-Tacoma, WA"
Jefferson Lincoln Elementary,400 West Summa,Centralia,WA,98531,Lewis County,46.705666,-122.962927,"Centralia, WA","Seattle-Tacoma, WA"
Oakview Elementary School,201 Oakview Avenue,Centralia,WA,98531,Lewis County,46.743075,-122.9516,"Centralia, WA","Seattle-Tacoma, WA"
Washington Elementary School,800 Field Street,Centralia,WA,98531,Lewis County,46.708528,-122.953581,"Centralia, WA","Seattle-Tacoma, WA"
Futurus High School,906 Johnson Road,Centralia,WA,98531,Lewis County,46.725637,-122.980554,"Centralia, WA","Seattle-Tacoma, WA"
Early Learning Center,2320 Borst Ave,Centralia,WA,98531,Lewis County,46.72619,-122.981301,"Centralia, WA","Seattle-Tacoma, WA"
Cascade Elementary School,89 SW Third Street,Chehalis,WA,98532,Lewis County,46.659024,-122.963331,"Centralia, WA","Seattle-Tacoma, WA"
Green Hill Academic School,375 SW 11th Street,Chehalis,WA,98532,Lewis County,46.650215,-122.962728,"Centralia, WA","Seattle-Tacoma, WA"
Olympic Elementary,2057 SW Salsbury,Chehalis,WA,98532,Lewis County,46.642199,-122.939988,"Centralia, WA","Seattle-Tacoma, WA"
R E Bennett Elementary,233 South Market Blvd,Chehalis,WA,98532,Lewis County,46.659726,-122.962225,"Centralia, WA","Seattle-Tacoma, WA"
W F West High School,342 SW 16th Street,Chehalis,WA,98532,Lewis County,46.649533,-122.949313,"Centralia, WA","Seattle-Tacoma, WA"
Chehalis Middle School,1060 SW 20th Street,Chehalis,WA,98532,Lewis County,46.643065,-122.943114,"Centralia, WA","Seattle-Tacoma, WA"
Lewis County Juvenile Detention,1255 SW Pacific St,CHEHALIS,WA,98532,Lewis County,46.649709,-122.960901,"Centralia, WA","Seattle-Tacoma, WA"
Lewis County Jail,345 NW North Street,Chehalis,WA,98532,Lewis County,46.660341,-122.969196,"Centralia, WA","Seattle-Tacoma, WA"
Lewis County Alternative School,1265 SW Pacific Ave,Chehalis,WA,98532,Lewis County,46.649163,-122.957558,"Centralia, WA","Seattle-Tacoma, WA"
Chelan Middle School,215 Webster,Chelan,WA,98816,Chelan County,47.835123,-120.020313,"Wenatchee, WA",N
Holden Village Community School,HCOO Stop 2,Chelan,WA,98816,Chelan County,48.199553,-120.775294,"Wenatchee, WA",N
Morgen Owings Elementary School,407 E Woodin,Chelan,WA,98816,Chelan County,47.840208,-120.011935,"Wenatchee, WA",N
Lake Chelan Preschool,324 E Johnson,Chelan,WA,98816,Chelan County,47.841137,-120.013813,"Wenatchee, WA",N
Chelan High School,215 Webster,Chelan,WA,98816,Chelan County,47.835099,-120.020326,"Wenatchee, WA",N
Chelan School of Innovation,216 N Emerson Street,Chelan,WA,98816,Chelan County,47.84142,-120.016321,"Wenatchee, WA",N
Betz Elementary,317 N 7TH,CHENEY,WA,99004,Spokane County,47.495496,-117.57759,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Cheney High School,460 N SIXTH ST,CHENEY,WA,99004,Spokane County,47.498005,-117.577152,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Cheney Middle School,740 Betz,CHENEY,WA,99004,Spokane County,47.506187,-117.577902,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Salnave Elementary,1015 SALNAVE ROAD,CHENEY,WA,99004,Spokane County,47.481264,-117.595841,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Sunset Elementary,12824 W 12th St.,AIRWAY HEIGHTS,WA,99001,Spokane County,47.645323,-117.588839,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Windsor Elementary,5504 W HALLETT RD,SPOKANE,WA,99224,Spokane County,47.595607,-117.490278,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Three Springs High School,520 FOURTH STREET,CHENEY,WA,99004,Spokane County,47.489593,-117.577728,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
HomeWorks,520 4th Street,Cheney,WA,99004,Spokane County,47.48959,-117.577505,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Birth To Three,12414 S Andrus Rd,Cheney,WA,99004,Spokane County,47.54327,-117.546675,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Phil Snowdon Elementary,6323 S Holly Rd,Cheney,WA,99004,Spokane County,47.594985,-117.533939,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Westwood Middle School,6120 SOUTH ABBOTT ROAD,Spokane,WA,99224,Spokane County,47.597143,-117.487468,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Cheney Open Doors,460 N. 6th St.,Cheney,WA,99004,Spokane County,47.49814,-117.577371,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Gess Elementary,E. 405 Lincoln,Chewelah,WA,99109,Stevens County,48.281912,-117.711651,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Jenkins Junior/Senior High,E. 702 Lincoln,Chewelah,WA,99109,Stevens County,48.280102,-117.708018,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Chewelah Alternative,W 106 Lincoln,Chewelah,WA,99109,Stevens County,48.281369,-117.716749,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Home Link Alternative,W 106 Lincoln,Chewelah,WA,99109,Stevens County,48.281369,-117.716749,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Chimacum Elementary School,91 West Valley Rd,Chimacum,WA,98325,Jefferson County,48.011781,-122.776484,N,N
Chimacum High School,91 West Valley Rd,Chimacum,WA,98325,Jefferson County,48.012006,-122.777852,N,N
Chimacum Middle School,91 West Valley Rd,Chimacum,WA,98325,Jefferson County,48.012181,-122.778231,N,N
PI Program,91 West Valley Rd,Chimacum,WA,98325,Jefferson County,48.012133,-122.778171,N,N
Chimacum Creek Primary School,313 Ness Corner Rd,Port Hadlock,WA,98339,Jefferson County,48.033099,-122.774319,N,N
Open Doors Reengagement Program,91 West Valley Rd,Chimacum,WA,98325,Jefferson County,48.012077,-122.778031,N,N
Charles Francis Adams High School,401 Chestnut St,Clarkston,WA,99403,Asotin County,46.410472,-117.042898,"Lewiston, ID-WA",N
Grantham Elementary,1253 Poplar St,Clarkston,WA,99403,Asotin County,46.417634,-117.056116,"Lewiston, ID-WA",N
Highland Elementary,1432 Highland St,Clarkston,WA,99403,Asotin County,46.404319,-117.067048,"Lewiston, ID-WA",N
Lincoln Middle School,1945 4th Ave,Clarkston,WA,99403,Asotin County,46.391951,-117.080067,"Lewiston, ID-WA",N
Parkway Elementary,1103 4th St,Clarkston,WA,99403,Asotin County,46.408215,-117.042624,"Lewiston, ID-WA",N
Educational Opportunity Center,1284 Chestnut St,Clarkston,WA,99403,Asotin County,46.411155,-117.057706,"Lewiston, ID-WA",N
Heights Elementary,1917 4th Ave,Clarkston,WA,99403,Asotin County,46.392062,-117.07857,"Lewiston, ID-WA",N
Special Services,1294 Chestnut St,Clarkston,WA,99403,Asotin County,46.411133,-117.058266,"Lewiston, ID-WA",N
Educational Opportunity Center Reengagement,1284 Chestnut,Clarkston,WA,99403,Asotin County,46.411131,-117.057848,"Lewiston, ID-WA",N
Cle Elum Roslyn High School,2692 SR 903,Cle Eum,WA,98922,Kittitas County,47.203867,-120.973435,"Ellensburg, WA",N
Cle Elum Roslyn Elementary,2696 SR 903,Cle Elum,WA,98922,Kittitas County,47.204933,-120.976037,"Ellensburg, WA",N
Walter Strom Middle School,2694  SR 903,Cle Elum,WA,98922,Kittitas County,47.20385,-120.973435,"Ellensburg, WA",N
Swiftwater Learning Center,205 West Idaho Street,Roslyn,WA,98941,Kittitas County,47.224066,-120.997199,"Ellensburg, WA",N
Queets-Clearwater Elementary,146000 HWY 101,FORKS,WA,98331,Jefferson County,47.539825,-124.251681,N,N
Tillicum Elementary School,8514 Maple ST SW,Lakewood,WA,98498,Pierce County,47.125071,-122.553265,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Beachwood Elementary School,8890 Concord Avenue,JBLM Lewis Main,WA,98433,Pierce County,47.119974,-122.58718,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Carter Lake Elementary School,3420 Lincoln Blvd SW,JBLM,WA,98439,Pierce County,47.128703,-122.521361,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Clover Park High School,11023 Gravelly LK DR SW,Lakewood,WA,98499,Pierce County,47.157633,-122.519175,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Custer Elementary School,7801 Steilacoom Blvd SW,Lakewood,WA,98498,Pierce County,47.180685,-122.540615,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Dower Elementary School,7817 Dower RD West,Lakewood,WA,98499,Pierce County,47.185926,-122.523109,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Hillside Elementary School,61700 Garcia Blvd,JBLM,WA,98433,Pierce County,47.103933,-122.5705,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Hudtloff Middle School,8102 Phillips Road,Lakewood,WA,98498,Pierce County,47.183282,-122.538497,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Idlewild Elementary School,10806 Idlewild RD SW,Lakewood,WA,98498,Pierce County,47.158853,-122.545287,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Lake Louise Elementary School,11014 Holden RD SW,Lakewood,WA,98498,Pierce County,47.15724,-122.569503,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Lakes High School,10320 Farwest DR SW,Lakewood,WA,98498,Pierce County,47.162626,-122.575401,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Lakeview Hope Academy,10501 47th AVE SW,Lakewood,WA,98499,Pierce County,47.161426,-122.49891,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Lochburn Middle School,5431 Steilacoom Blvd SW,Lakewood,WA,98499,Pierce County,47.178796,-122.511794,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Mann Middle School,11509 Holden RD SW,Lakewood,WA,98498,Pierce County,47.152953,-122.56683,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Oakbrook Elementary School,7802 83rd AVE SW,Lakewood,WA,98498,Pierce County,47.186016,-122.548616,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Tyee Park Elementary School,11920 Seminole RD SW,Lakewood,WA,98499,Pierce County,47.14906,-122.50829,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Firwood,8805 Steilacoom Blvd SW,Steilacoom,WA,98498,Pierce County,47.181579,-122.559329,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Woodbrook Middle School,14920 Spring ST,Lakewood,WA,98439,Pierce County,47.121888,-122.538466,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Oak Grove,8805 Steilacoom Blvd SW,Lakewood,WA,98498,Pierce County,47.18079,-122.563163,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Evergreen Elementary School,9020 Blaine Ave,JBLM,WA,98433,Pierce County,47.11431,-122.560474,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Park Lodge Elementary School,6300 100th ST SW,Lakewood,WA,98499,Pierce County,47.16577,-122.521564,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Alfaretta House,6423 Alfaretta ST,Lakewood,WA,98499,Pierce County,47.165442,-122.522895,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Re-Entry High School,5431 Steilacoom Blvd SW,Lakewood,WA,98499,Pierce County,47.178796,-122.511794,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Re-Entry Middle School,5431 Steilacoom Blvd SW,Lakewood,WA,98499,Pierce County,47.178796,-122.511794,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Special Education Services/relife,14721 Murray ST,Lakewood,WA,98439,Pierce County,47.123672,-122.542356,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Harrison Prep School,8800 121St St SW,Lakewood,WA,98498,Pierce County,47.174892,-122.505932,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Transition Day Students,8805 Steilacoom Blvd,Lakewood,WA,98498,Pierce County,47.181595,-122.559324,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Oakridge Group Home,8701 Steilacoom Blvd,Lakewood,WA,98498,Pierce County,47.17979,-122.553882,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Rainier Elementary School,2410 Stryker Avenue,JBLM Lewis Main,WA,98433,Pierce County,47.084255,-122.60359,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Meriwether Elementary School,10285 Compass Ave,JBLM Lewis McChord,WA,98433,Pierce County,47.136424,-122.590609,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Four Heroes Elementary,9101 Lakewood Dr SW,Lakewood,WA,98499,Pierce County,47.175034,-122.506617,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
CPSD Open Doors Program,10903 Gravelly Lake Dr SW,Lakewood,WA,98499,Pierce County,47.158924,-122.519756,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Clover Park Early Learning Program,10202 Earley Ave SW,Lakewood,WA,98499,Pierce County,47.16507,-122.492011,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Colfax High School,1110 N. Morton Street,Colfax,WA,99111,Whitman County,46.892335,-117.360739,"Pullman, WA","Pullman-Moscow, WA-ID"
Leonard M Jennings Elementary,1207 N. Morton Street,Colfax,WA,99111,Whitman County,46.894627,-117.360649,"Pullman, WA","Pullman-Moscow, WA-ID"
Davis Elementary,31 SE ASH STREET,COLLEGE PLACE,WA,99324,Walla Walla County,46.048512,-118.386603,"Walla Walla, WA",N
John Sager Middle School,1775 SOUTH COLLEGE AVENUE,COLLEGE PLACE,WA,99324,Walla Walla County,46.031678,-118.387871,"Walla Walla, WA",N
College Place High School,1755 S. College Avenue,College Place,WA,99362,Walla Walla County,46.031023,-118.387252,"Walla Walla, WA",N
Colton School,706 Union,Colton,WA,99113,Whitman County,46.566441,-117.131186,"Pullman, WA","Pullman-Moscow, WA-ID"
Columbia High And Elementary,4961B Hunters Shop Road,Hunters,WA,99137,Stevens County,48.119717,-118.203028,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Columbia Alternative School,4961 B Hunters Shop Rd,Hunters,WA,99137,Stevens County,48.119717,-118.203028,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Columbia Elementary,977 Maple Street,BURBANK,WA,99323,Walla Walla County,46.200305,-119.012555,"Walla Walla, WA",N
Columbia Middle School,835 Maple Street,BURBANK,WA,99323,Walla Walla County,46.200292,-119.009856,"Walla Walla, WA",N
Columbia High School,787 Maple Street,BURBANK,WA,99323,Walla Walla County,46.199863,-119.007308,"Walla Walla, WA",N
Colville Senior High School,154 Highway 20 E,Colville,WA,99114,Stevens County,48.544948,-117.876007,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Colville Junior High School,990 S Cedar St,Colville,WA,99114,Stevens County,48.534571,-117.899124,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Hofstetter Elementary,640 N Hofstetter St,Colville,WA,99114,Stevens County,48.55015,-117.896477,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Fort Colville Elementary,1212 E Ivy Ave,Colville,WA,99114,Stevens County,48.534432,-117.891376,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Panorama School,225 South Hofstetter,Colville,WA,99114,Stevens County,48.543211,-117.896715,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Twin Cedars High School,45389 Airport Way,Concrete,WA,98237,Skagit County,48.531691,-121.758155,"Mount Vernon-Anacortes, WA","Seattle-Tacoma, WA"
Concrete Elementary,7838 S. Superior Ave,Concrete,WA,98237,Skagit County,48.532228,-121.763292,"Mount Vernon-Anacortes, WA","Seattle-Tacoma, WA"
Concrete High School,7830 S. Superior Avenue,Concrete,WA,98237,Skagit County,48.532326,-121.759701,"Mount Vernon-Anacortes, WA","Seattle-Tacoma, WA"
Skagit River School House,45389 Airport Way,Concrete,WA,98237,Skagit County,48.531691,-121.758155,"Mount Vernon-Anacortes, WA","Seattle-Tacoma, WA"
Special Services School,45389 Airport Way,Concrete,WA,98237,Skagit County,48.531691,-121.758155,"Mount Vernon-Anacortes, WA","Seattle-Tacoma, WA"
Conway School,19710 State Route 534,Mount Vernon,WA,98274,Skagit County,48.340413,-122.318771,"Mount Vernon-Anacortes, WA","Seattle-Tacoma, WA"
Cosmopolis Elementary School,1439 Fourth Street,Cosmopolis,WA,98537,Grays Harbor County,46.952729,-123.771836,"Aberdeen, WA",N
Coupeville Elementary School,6 South Main Street,Coupeville,WA,98239,Island County,48.211433,-122.688184,"Oak Harbor, WA","Seattle-Tacoma, WA"
Coupeville High School,501 South Main Street,Coupeville,WA,98239,Island County,48.206874,-122.685366,"Oak Harbor, WA","Seattle-Tacoma, WA"
Coupeville Middle School,501 South Main Street,Coupeville,WA,98239,Island County,48.206922,-122.685329,"Oak Harbor, WA","Seattle-Tacoma, WA"
Toddler Learning Center,950 SE Regatta Dr #101,Oak Harbor,WA,98277,Island County,48.2906,-122.635268,"Oak Harbor, WA","Seattle-Tacoma, WA"
