NAME,CITY,STATE,ZIP,CNTY,NMCNTY,CD,SLDL,SLDU,SCHOOLYEAR
Garfield Elementary School,Everett,WA,98201,53061,Snohomish County,5302,53038,53038,2017-2018
North Middle School,Everett,WA,98201,53061,Snohomish County,5302,53038,53038,2017-2018
Hawthorne Elementary School - Everett,Everett,WA,98201,53061,Snohomish County,5302,53038,53038,2017-2018
Jackson Elementary School,Everett,WA,98201,53061,Snohomish County,5302,53038,53038,2017-2018
Jefferson Elementary,Everett,WA,98208,53061,Snohomish County,5302,53044,53044,2017-2018
Lowell Elementary - Everett,Everett,WA,98203,53061,Snohomish County,5302,53038,53038,2017-2018
Madison Elementary,Everett,WA,98203,53061,Snohomish County,5302,53038,53038,2017-2018
Monroe Elementary,Everett,WA,98208,53061,Snohomish County,5302,53038,53038,2017-2018
Silver Lake Elementary - Everett,Everett,WA,98208,53061,Snohomish County,5302,53021,53021,2017-2018
View Ridge Elementary,Everett,WA,98203,53061,Snohomish County,5302,53038,53038,2017-2018
Whittier Elementary,Everett,WA,98201,53061,Snohomish County,5302,53038,53038,2017-2018
Gateway Middle School,Everett,WA,98208,53061,Snohomish County,5301,53001,53001,2017-2018
Henry M. Jackson High School,Mill Creek,WA,98012,53061,Snohomish County,5301,53044,53044,2017-2018
Sequoia High School,Everett,WA,98201,53061,Snohomish County,5302,53038,53038,2017-2018
Woodside Elementary,Bothell,WA,98012,53061,Snohomish County,5301,53044,53044,2017-2018
Silver Firs Elementary,Everett,WA,98208,53061,Snohomish County,5301,53044,53044,2017-2018
Mill Creek Elementary,Mill Creek,WA,98012,53061,Snohomish County,5301,53044,53044,2017-2018
Heatherwood Middle School,Mill Creek,WA,98012,53061,Snohomish County,5301,53044,53044,2017-2018
Cedar Wood Elementary,Bothell,WA,98012,53061,Snohomish County,5301,53044,53044,2017-2018
NW Learning Center,Arlington,WA,98223,53061,Snohomish County,5302,53039,53039,2017-2018
Penny Creek Elementary,Everett,WA,98208,53061,Snohomish County,5301,53044,53044,2017-2018
Special Services,Everett,WA,98201,53061,Snohomish County,5302,53038,53038,2017-2018
Port Gardner,Everett,WA,98201,53061,Snohomish County,5302,53038,53038,2017-2018
Forest View Elementary School,Everett,WA,98208,53061,Snohomish County,5301,53001,53001,2017-2018
Sno Co Jail,Everett,WA,98201,53061,Snohomish County,5302,53038,53038,2017-2018
Everett Reengagement Academy,Everett,WA,98201,53061,Snohomish County,5302,53038,53038,2017-2018
Other Schools,Everett,WA,98201,53061,Snohomish County,5302,53038,53038,2017-2018
Legacy High School,Vancouver,WA,98684,53011,Clark County,5303,53017,53017,2017-2018
Burton Elementary School,Vancouver,WA,98682,53011,Clark County,5303,53017,53017,2017-2018
Cascade Middle School,Vancouver,WA,98684,53011,Clark County,5303,53017,53017,2017-2018
Covington Middle School,Vancouver,WA,98662,53011,Clark County,5303,53017,53017,2017-2018
Crestline Elementary School,Vancouver,WA,98683,53011,Clark County,5303,53017,53017,2017-2018
Ellsworth Elementary School,Vancouver,WA,98664,53011,Clark County,5303,53049,53049,2017-2018
Evergreen High School,Vancouver,WA,98684,53011,Clark County,5303,53017,53017,2017-2018
Fircrest Elementary School,Vancouver,WA,98684,53011,Clark County,5303,53017,53017,2017-2018
Image Elementary School,Vancouver,WA,98682,53011,Clark County,5303,53017,53017,2017-2018
Marrion Elementary School,Vancouver,WA,98664,53011,Clark County,5303,53049,53049,2017-2018
Mill Plain Elementary School,Vancouver,WA,98684,53011,Clark County,5303,53017,53017,2017-2018
Orchards Elementary School,Vancouver,WA,98662,53011,Clark County,5303,53017,53017,2017-2018
Riverview Elementary School,Vancouver,WA,98684,53011,Clark County,5303,53017,53017,2017-2018
Sifton Elementary School,Vancouver,WA,98682,53011,Clark County,5303,53017,53017,2017-2018
Silver Star Elementary School,Vancouver,WA,98662,53011,Clark County,5303,53017,53017,2017-2018
Sunset Elementary School,Vancouver,WA,98662,53011,Clark County,5303,53017,53017,2017-2018
Wyeast Middle School,Vancouver,WA,98683,53011,Clark County,5303,53017,53017,2017-2018
Pioneer Elementary School,Vancouver,WA,98682,53011,Clark County,5303,53017,53017,2017-2018
49th Street Academy,Vancouver,WA,98682,53011,Clark County,5303,53017,53017,2017-2018
Hearthwood Elementary School,Vancouver,WA,98684,53011,Clark County,5303,53017,53017,2017-2018
Mountain View High School,Vancouver,WA,98683,53011,Clark County,5303,53017,53017,2017-2018
Pacific Middle School,Vancouver,WA,98684,53011,Clark County,5303,53017,53017,2017-2018
Cascadia Technical Academy Skills Center,Vancouver,WA,98682,53011,Clark County,5303,53017,53017,2017-2018
Burnt Bridge Creek Elementary Sch,Vancouver,WA,98682,53011,Clark County,5303,53017,53017,2017-2018
Early Childhood Center,Vancouver,WA,98682,53011,Clark County,5303,53017,53017,2017-2018
Harmony Elementary School,Vancouver,WA,98684,53011,Clark County,5303,53017,53017,2017-2018
Frontier Middle School,Vancouver,WA,98682,53011,Clark County,5303,53017,53017,2017-2018
Fishers Landing Elementary School,Vancouver,WA,98683,53011,Clark County,5303,53018,53018,2017-2018
iQ Academy Washington,Vancouver,WA,98684,53011,Clark County,5303,53017,53017,2017-2018
Heritage High School,Vancouver,WA,98682,53011,Clark County,5303,53017,53017,2017-2018
Illahee Elementary School,Camas,WA,98607,53011,Clark County,5303,53018,53018,2017-2018
Shahala Middle School,Vancouver,WA,98683,53011,Clark County,5303,53018,53018,2017-2018
Columbia Valley Elementary,Vancouver,WA,98683,53011,Clark County,5303,53018,53018,2017-2018
Home Choice Academy,Vancouver,WA,98682,53011,Clark County,5303,53017,53017,2017-2018
York Elementary School,Vancouver,WA,98682,53011,Clark County,5303,53017,53017,2017-2018
Union High School,Camas,WA,98607,53011,Clark County,5303,53018,53018,2017-2018
Endeavour Elementary School,Vancouver,WA,98684,53011,Clark County,5303,53017,53017,2017-2018
HeLa High School,Vancouver,WA,98664,53011,Clark County,5303,53049,53049,2017-2018
Open Doors Evergreen,Vancouver,WA,98682,53011,Clark County,5303,53017,53017,2017-2018
Evergreen School,Gifford,WA,99131,53065,Stevens County,5305,53007,53007,2017-2018
Adelaide Elementary School,Federal Way,WA,98023,53033,King County,5309,53030,53030,2017-2018
Brigadoon Elementary School,Federal Way,WA,98023,53033,King County,5309,53030,53030,2017-2018
Camelot Elementary School,AUBURN,WA,98001,53033,King County,5308,53030,53030,2017-2018
Decatur High School,FEDERAL WAY,WA,98023,53033,King County,5309,53030,53030,2017-2018
Federal Way High School,FEDERAL WAY,WA,98003,53033,King County,5309,53030,53030,2017-2018
Illahee Middle School,FEDERAL WAY,WA,98003,53033,King County,5309,53030,53030,2017-2018
Kilo Middle School,AUBURN,WA,98001,53033,King County,5308,53047,53047,2017-2018
Lake Dolloff Elementary School,AUBURN,WA,98001,53033,King County,5308,53047,53047,2017-2018
Lake Grove Elementary School,FEDERAL WAY,WA,98023,53033,King County,5309,53030,53030,2017-2018
Lakeland Elementary School,AUBURN,WA,98001,53033,King County,5308,53030,53030,2017-2018
Lakota Middle School,FEDERAL WAY,WA,98023,53033,King County,5309,53030,53030,2017-2018
Mirror Lake Elementary School,FEDERAL WAY,WA,98003,53033,King County,5309,53030,53030,2017-2018
Nautilus K-8 School,FEDERAL WAY,WA,98003,53033,King County,5309,53030,53030,2017-2018
Olympic View Elementary School,FEDERAL WAY,WA,98023,53033,King County,5309,53030,53030,2017-2018
Sacajawea Middle School,FEDERAL WAY,WA,98003,53033,King County,5309,53030,53030,2017-2018
Star Lake Elementary School,KENT,WA,98031,53033,King County,5309,53033,53033,2017-2018
Sunnycrest Elementary School,KENT,WA,98032,53033,King County,5309,53033,53033,2017-2018
Thomas Jefferson High School,AUBURN,WA,98001,53033,King County,5308,53030,53030,2017-2018
Totem Middle School,KENT,WA,98031,53033,King County,5309,53033,53033,2017-2018
Twin Lakes Elementary School,FEDERAL WAY,WA,98023,53033,King County,5309,53030,53030,2017-2018
Valhalla Elementary School,AUBURN,WA,98001,53033,King County,5308,53030,53030,2017-2018
Wildwood Elementary School,FEDERAL WAY,WA,98003,53033,King County,5309,53030,53030,2017-2018
Woodmont K-8 School,DES MOINES,WA,98198,53033,King County,5309,53033,53033,2017-2018
Green Gables Elementary School,FEDERAL WAY,WA,98023,53033,King County,5309,53030,53030,2017-2018
Saghalie Middle School,FEDERAL WAY,WA,98023,53033,King County,5309,53030,53030,2017-2018
Enterprise Elementary School,FEDERAL WAY,WA,98023,53033,King County,5309,53030,53030,2017-2018
Panther Lake Elementary School,FEDERAL WAY,WA,98003,53033,King County,5309,53030,53030,2017-2018
Mark Twain Elementary School,FEDERAL WAY,WA,98003,53033,King County,5309,53030,53030,2017-2018
Silver Lake Elementary School - Federal Way,FEDERAL WAY,WA,98023,53033,King County,5309,53030,53030,2017-2018
Meredith Hill Elementary School,AUBURN,WA,98001,53033,King County,5308,53047,53047,2017-2018
Sherwood Forest Elementary School,FEDERAL WAY,WA,98023,53033,King County,5309,53030,53030,2017-2018
Rainier View Elementary School,FEDERAL WAY,WA,98003,53033,King County,5308,53030,53030,2017-2018
Internet Academy,Federal Way,WA,98003,53033,King County,5309,53030,53030,2017-2018
Federal Way Public Academy,FEDERAL WAY,WA,98003,53033,King County,5309,53030,53030,2017-2018
Support School,Federal Way,WA,98003,53033,King County,5309,53030,53030,2017-2018
Sequoyah Middle School,Auburn,WA,98001,53033,King County,5308,53030,53030,2017-2018
Employment Transition Program,Federal Way,WA,98023,53033,King County,5309,53030,53030,2017-2018
Todd Beamer High School,FEDERAL WAY,WA,98003,53033,King County,5309,53030,53030,2017-2018
Federal Way Running Start Home School,Federal Way,WA,98003,53033,King County,5309,53030,53030,2017-2018
Technology Access Foundation Academy,Kent,WA,98032,53033,King County,5309,53033,53033,2017-2018
Career Academy at Truman High School,Federal Way,WA,98003,53033,King County,5309,53030,53030,2017-2018
Federal Way Public Schools Headstart,Federal Way,WA,98003,53033,King County,5309,53030,53030,2017-2018
Federal Way Public School ECEAP,Federal Way,WA,98003,53033,King County,5309,53030,53030,2017-2018
Gateway to College,Federal Way,WA,98003,53033,King County,5309,53030,53030,2017-2018
Birth to Three Development Center,Federal Way,WA,98023,53033,King County,5309,53030,53030,2017-2018
Dynamic Family Services,Kent,WA,98030,53033,King County,5308,53047,53047,2017-2018
Open Doors Youth Reengagement (1418),Federal Way,WA,98003,53033,King County,5309,53030,53030,2017-2018
TAFA at Saghalie,Federal Way,WA,98023,53033,King County,5309,53030,53030,2017-2018
Beach Elem,Lummi Island,WA,98262,53073,Whatcom County,5301,53042,53042,2017-2018
Central Elementary,Ferndale,WA,98248,53073,Whatcom County,5301,53042,53042,2017-2018
Custer Elem,Custer,WA,98240,53073,Whatcom County,5301,53042,53042,2017-2018
Ferndale High School,Ferndale,WA,98248,53073,Whatcom County,5301,53042,53042,2017-2018
Vista Middle School,Ferndale,WA,98248,53073,Whatcom County,5301,53042,53042,2017-2018
Skyline Elementary School,Ferndale,WA,98248,53073,Whatcom County,5301,53042,53042,2017-2018
Eagleridge Elementary,Ferndale,WA,98248,53073,Whatcom County,5301,53042,53042,2017-2018
Horizon Middle School,Ferndale,WA,98248,53073,Whatcom County,5301,53042,53042,2017-2018
Ferndale Special Services,Ferndale,WA,98248,53073,Whatcom County,5301,53042,53042,2017-2018
Cascadia Elementary,Ferndale,WA,98248,53073,Whatcom County,5301,53042,53042,2017-2018
WINDWARD HIGH SCHOOL,Ferndale,WA,98248,53073,Whatcom County,5301,53042,53042,2017-2018
FERNDALE RE-ENGAGEMENT,FERNDALE,WA,98248,53073,Whatcom County,5301,53042,53042,2017-2018
Parent Community Connection,Ferndale,WA,98248,53073,Whatcom County,5301,53042,53042,2017-2018
Discovery Primary School,Milton,WA,98354,53053,Pierce County,5308,53030,53030,2017-2018
Fife High School,Tacoma,WA,98424,53053,Pierce County,5310,53025,53025,2017-2018
Endeavour Intermediate,Milton,WA,98354,53053,Pierce County,5308,53030,53030,2017-2018
Surprise Lake Middle School,Milton,WA,98354,53053,Pierce County,5308,53030,53030,2017-2018
Hedden Elementary School,Edgewood,WA,98372,53053,Pierce County,5310,53031,53031,2017-2018
Columbia Junior High School,Tacoma,WA,98424,53053,Pierce County,5310,53025,53025,2017-2018
Finley Elementary,KENNEWICK,WA,99337,53005,Benton County,5304,53016,53016,2017-2018
River View High School,KENNEWICK,WA,99337,53005,Benton County,5304,53016,53016,2017-2018
Finley Middle School,KENNEWICK,WA,99337,53005,Benton County,5304,53016,53016,2017-2018
Brookdale Elementary,Tacoma,WA,98444,53053,Pierce County,5310,53029,53029,2017-2018
Central Avenue Elementary,Tacoma,WA,98446,53053,Pierce County,5310,53025,53025,2017-2018
Christensen Elementary,Tacoma,WA,98444,53053,Pierce County,5310,53029,53029,2017-2018
Collins Elementary,Tacoma,WA,98446,53053,Pierce County,5310,53025,53025,2017-2018
Elmhurst Elementary School,TACOMA,WA,98445,53053,Pierce County,5310,53029,53029,2017-2018
Franklin Pierce High School,TACOMA,WA,98445,53053,Pierce County,5310,53025,53025,2017-2018
Harvard Elementary,Tacoma,WA,98445,53053,Pierce County,5310,53025,53025,2017-2018
James Sales Elementary,Tacoma,WA,98444,53053,Pierce County,5310,53029,53029,2017-2018
Morris Ford Middle School,Tacoma,WA,98445,53053,Pierce County,5310,53025,53025,2017-2018
Perry G Keithley Middle School,TACOMA,WA,98444,53053,Pierce County,5310,53029,53029,2017-2018
Washington High School,Tacoma,WA,98444,53053,Pierce County,5310,53029,53029,2017-2018
Gates Secondary School,Tacoma,WA,98444,53053,Pierce County,5310,53029,53029,2017-2018
Midland Elementary,Tacoma,WA,98445,53053,Pierce County,5310,53025,53025,2017-2018
Learning Support,Tacoma,WA,98444,53053,Pierce County,5310,53029,53029,2017-2018
Early Learning Center,Tacoma,WA,98444,53053,Pierce County,5310,53025,53025,2017-2018
Freeman Elementary School,Rockford,WA,99030,53063,Spokane County,5305,53006,53006,2017-2018
Freeman High School,Rockford,WA,99030,53063,Spokane County,5305,53006,53006,2017-2018
Freeman Middle School,Rockford,WA,99030,53063,Spokane County,5305,53006,53006,2017-2018
Garfield Elementary,Garfield,WA,99130,53075,Whitman County,5305,53009,53009,2017-2018
Garfield Middle School,Garfield,WA,99130,53075,Whitman County,5305,53009,53009,2017-2018
Garfield at Palouse High School,Palouse,WA,99161,53075,Whitman County,5305,53009,53009,2017-2018
Glenwood Elementary,Glenwood,WA,98619,53039,Klickitat County,5303,53014,53014,2017-2018
Glenwood Secondary,Glenwood,WA,98619,53039,Klickitat County,5303,53014,53014,2017-2018
Goldendale High School,GOLDENDALE,WA,98620,53039,Klickitat County,5303,53014,53014,2017-2018
Goldendale Middle School,GOLDENDALE,WA,98620,53039,Klickitat County,5303,53014,53014,2017-2018
Goldendale Primary School,GOLDENDALE,WA,98620,53039,Klickitat County,5303,53014,53014,2017-2018
Goldendale Support Service Center,GOLDENDALE,WA,98620,53039,Klickitat County,5303,53014,53014,2017-2018
Lake Roosevelt Elementary,Coulee Dam,WA,99116,53047,Okanogan County,5304,53012,53012,2017-2018
Lake Roosevelt Jr/Sr High School,COULEE DAM,WA,99116,53047,Okanogan County,5304,53012,53012,2017-2018
Lake Roosevelt Alternative School,Coulee Dam,WA,99116,53047,Okanogan County,5304,53012,53012,2017-2018
Smith Elementary School,Grandview,WA,98930,53077,Yakima County,5304,53015,53015,2017-2018
Grandview Middle School,Grandview,WA,98930,53077,Yakima County,5304,53015,53015,2017-2018
Grandview High School,Grandview,WA,98930,53077,Yakima County,5304,53015,53015,2017-2018
Thompson Elementary School,Grandview,WA,98930,53077,Yakima County,5304,53015,53015,2017-2018
Mcclure Elementary School,Grandview,WA,98930,53077,Yakima County,5304,53015,53015,2017-2018
Compass High School,Grandview,WA,98930,53077,Yakima County,5304,53015,53015,2017-2018
Contract Learning Center,Grandview,WA,98930,53077,Yakima County,5304,53015,53015,2017-2018
Step Up to College Open Doors High School,Grandview,WA,98930,53077,Yakima County,5304,53015,53015,2017-2018
Granger High School,Granger,WA,98932,53077,Yakima County,5304,53015,53015,2017-2018
Granger Middle School,Granger,WA,98932,53077,Yakima County,5304,53015,53015,2017-2018
Roosevelt Elementary,Granger,WA,98932,53077,Yakima County,5304,53015,53015,2017-2018
Granite Falls High School,Granite Falls,WA,98252,53061,Snohomish County,5301,53039,53039,2017-2018
Granite Falls Middle School,Granite Falls,WA,98252,53061,Snohomish County,5301,53039,53039,2017-2018
Mountain Way Elementary,Granite Falls,WA,98252,53061,Snohomish County,5301,53039,53039,2017-2018
Monte Cristo Elementary,Granite Falls,WA,98252,53061,Snohomish County,5301,53039,53039,2017-2018
Crossroads High School,Granite Falls,WA,98252,53061,Snohomish County,5301,53039,53039,2017-2018
Granite Falls Open Doors,Granite Falls,WA,98252,53061,Snohomish County,5301,53039,53039,2017-2018
Grapeview Elementary & Middle School,Grapeview,WA,98546,53045,Mason County,5306,53035,53035,2017-2018
Great Northern Elementary,SPOKANE,WA,99224,53063,Spokane County,5305,53006,53006,2017-2018
Green Mountain School,WOODLAND,WA,98674,53011,Clark County,5303,53020,53020,2017-2018
Griffin School,Olympia,WA,98502,53067,Thurston County,5310,53035,53035,2017-2018
Harrington Elementary School,Harrington,WA,99134,53043,Lincoln County,5305,53013,53013,2017-2018
Harrington High School,Harrington,WA,99134,53043,Lincoln County,5305,53013,53013,2017-2018
Coulee City Elementary,COULEE CITY,WA,99115,53025,Grant County,5304,53012,53012,2017-2018
Almira Coulee Hartline High School,Coulee City,WA,99115,53025,Grant County,5304,53012,53012,2017-2018
Coulee City MS,COULEE CITY,WA,99115,53025,Grant County,5304,53012,53012,2017-2018
Tieton Intermediate School,Tieton,WA,98947,53077,Yakima County,5304,53014,53014,2017-2018
Marcus Whitman-Cowiche Elementary,Cowiche,WA,98923,53077,Yakima County,5304,53014,53014,2017-2018
Highland High School,Cowiche,WA,98923,53077,Yakima County,5304,53014,53014,2017-2018
Highland Junior High School,Cowiche,WA,98923,53077,Yakima County,5304,53014,53014,2017-2018
Beverly Park Elem at Glendale,Seattle,WA,98168,53033,King County,5307,53033,53033,2017-2018
Bow Lake Elementary,SeaTac,WA,98188,53033,King County,5309,53033,53033,2017-2018
Cascade Middle School,Seattle,WA,98146,53033,King County,5307,53034,53034,2017-2018
Cedarhurst Elementary,Burien,WA,98168,53033,King County,5307,53033,53033,2017-2018
Chinook Middle School,SeaTac,WA,98188,53033,King County,5309,53033,53033,2017-2018
Des Moines Elementary,Des Moines,WA,98198,53033,King County,5309,53033,53033,2017-2018
Evergreen High School,Seattle,WA,98146,53033,King County,5307,53034,53034,2017-2018
Gregory Heights Elementary,Burien,WA,98166,53033,King County,5307,53034,53034,2017-2018
Hazel Valley Elementary,Burien,WA,98146,53033,King County,5307,53034,53034,2017-2018
Highline High School,Burien,WA,98148,53033,King County,5307,53033,53033,2017-2018
Hilltop Elementary,Seattle,WA,98168,53033,King County,5307,53033,53033,2017-2018
Madrona Elementary,SeaTac,WA,98198,53033,King County,5309,53033,53033,2017-2018
Marvista Elementary,Normandy Park,WA,98166,53033,King County,5307,53033,53033,2017-2018
McMicken Heights Elementary,SeaTac,WA,98188,53033,King County,5309,53033,53033,2017-2018
Midway Elementary,Des Moines,WA,98198,53033,King County,5309,53033,53033,2017-2018
Mount Rainier High School,Des Moines,WA,98198,53033,King County,5309,53033,53033,2017-2018
Mount View Elementary,Seattle,WA,98146,53033,King County,5307,53034,53034,2017-2018
Pacific Middle School,Des Moines,WA,98198,53033,King County,5309,53033,53033,2017-2018
Parkside Elementary,Des Moines,WA,98198,53033,King County,5309,53033,53033,2017-2018
Seahurst Elementary School,Burien,WA,98166,53033,King County,5307,53034,53034,2017-2018
Shorewood Elementary,Burien,WA,98146,53033,King County,5307,53034,53034,2017-2018
Southern Heights Elementary,Seattle,WA,98168,53033,King County,5307,53033,53033,2017-2018
Sylvester Middle School,Burien,WA,98166,53033,King County,5307,53034,53034,2017-2018
Tyee High School,SeaTac,WA,98188,53033,King County,5309,53033,53033,2017-2018
White Center Heights Elementary,Seattle,WA,98168,53033,King County,5307,53034,53034,2017-2018
Puget Sound Skills Center,Seattle,WA,98148,53033,King County,5307,53033,53033,2017-2018
North Hill Elementary,Des Moines,WA,98148,53033,King County,5309,53033,53033,2017-2018
CHOICE Academy,Seattle,WA,98148,53033,King County,5307,53033,53033,2017-2018
New Start,Seattle,WA,98146,53033,King County,5307,53034,53034,2017-2018
Satellite High School,Seattle,WA,98148,53033,King County,5307,53033,53033,2017-2018
Head Start,Seattle,WA,98106,53033,King County,5307,53034,53034,2017-2018
Raisbeck Aviation High School,Tukwila,WA,98108,53033,King County,5309,53011,53011,2017-2018
Big Picture School,Burien,WA,98148,53033,King County,5307,53033,53033,2017-2018
Academy of Citizenship and Empowerment,SeaTac,WA,98188,53033,King County,5309,53033,53033,2017-2018
Global Connections High School,SeaTac,WA,98188,53033,King County,5309,53033,53033,2017-2018
Health Sciences & Human Services,Seattle,WA,98146,53033,King County,5307,53034,53034,2017-2018
Technology - Engineering & Communications,Seattle,WA,98146,53033,King County,5307,53034,53034,2017-2018
Arts & Academics Academy,Seattle,WA,98146,53033,King County,5307,53034,53034,2017-2018
Valley View Early Childhood Center,SeaTac,WA,98188,53033,King County,5309,53033,53033,2017-2018
Career Link,Seattle,WA,98106,53033,King County,5307,53034,53034,2017-2018
Puget Sound High School,Burien,WA,98148,53033,King County,5307,53033,53033,2017-2018
Gateway to College,Burien,WA,98146,53033,King County,5307,53034,53034,2017-2018
Southwest Youth and Family Services,Seattle,WA,98106,53033,King County,5307,53034,53034,2017-2018
Highline Open Doors 1418,Burien,WA,98146,53033,King County,5307,53034,53034,2017-2018
Highline Home School Center,Burien,WA,98148,53033,King County,5307,53033,53033,2017-2018
Hockinson Middle School,BRUSH PRAIRIE,WA,98606,53011,Clark County,5303,53017,53017,2017-2018
Hockinson High School,BRUSH PRAIRIE,WA,98606,53011,Clark County,5303,53017,53017,2017-2018
Hockinson Heights Elementary School,Brush Prairie,WA,98606,53011,Clark County,5303,53018,53018,2017-2018
Hood Canal Elem & Junior High,Shelton,WA,98584,53045,Mason County,5306,53035,53035,2017-2018
Central Elementary School,Hoquiam,WA,98550,53027,Grays Harbor County,5306,53024,53024,2017-2018
Hoquiam High School,Hoquiam,WA,98550,53027,Grays Harbor County,5306,53024,53024,2017-2018
Hoquiam Middle School,Hoquiam,WA,98550,53027,Grays Harbor County,5306,53024,53024,2017-2018
Lincoln Elementary,Hoquiam,WA,98550,53027,Grays Harbor County,5306,53024,53024,2017-2018
Emerson Elementary,Hoquiam,WA,98550,53027,Grays Harbor County,5306,53024,53024,2017-2018
Hoquiam Homelink School,Hoquiam,WA,98550,53027,Grays Harbor County,5306,53024,53024,2017-2018
Index Elementary School,Index,WA,98256,53061,Snohomish County,5301,53039,53039,2017-2018
Cougar Ridge Elementary,BELLEVUE,WA,98006,53033,King County,5309,53041,53041,2017-2018
Apollo Elementary,RENTON,WA,98059,53033,King County,5308,53005,53005,2017-2018
Briarwood Elementary,RENTON,WA,98059,53033,King County,5308,53005,53005,2017-2018
Issaquah Middle School,ISSAQUAH,WA,98027,53033,King County,5308,53005,53005,2017-2018
Issaquah High School,ISSAQUAH,WA,98027,53033,King County,5308,53005,53005,2017-2018
Issaquah Valley Elementary,ISSAQUAH,WA,98027,53033,King County,5308,53005,53005,2017-2018
Liberty Sr High School,RENTON,WA,98059,53033,King County,5308,53005,53005,2017-2018
Maple Hills Elementary,RENTON,WA,98059,53033,King County,5308,53005,53005,2017-2018
Maywood Middle School,RENTON,WA,98059,53033,King County,5308,53005,53005,2017-2018
Pine Lake Middle School,SAMMAMISH,WA,98075,53033,King County,5308,53041,53041,2017-2018
Sunny Hills Elementary,SAMMAMISH,WA,98075,53033,King County,5308,53041,53041,2017-2018
Issaquah Special Services,ISSAQUAH,WA,98027,53033,King County,5308,53005,53005,2017-2018
Beaver Lake Middle School,ISSAQUAH,WA,98029,53033,King County,5308,53005,53005,2017-2018
Echo Glen School,SNOQUALMIE,WA,98065,53033,King County,5308,53005,53005,2017-2018
Clark Elementary,ISSAQUAH,WA,98027,53033,King County,5308,53005,53005,2017-2018
Challenger Elementary,ISSAQUAH,WA,98029,53033,King County,5308,53005,53005,2017-2018
Sunset Elementary,BELLEVUE,WA,98008,53033,King County,5309,53048,53048,2017-2018
Discovery Elementary,ISSAQUAH,WA,98075,53033,King County,5308,53041,53041,2017-2018
Endeavour Elementary School,ISSAQUAH,WA,98029,53033,King County,5308,53005,53005,2017-2018
Skyline High School,SAMMAMISH,WA,98075,53033,King County,5308,53041,53041,2017-2018
Cascade Ridge Elementary,SAMMAMISH,WA,98075,53033,King County,5308,53041,53041,2017-2018
Newcastle Elementary School,Newcastle,WA,98059,53033,King County,5309,53041,53041,2017-2018
Grand Ridge Elementary,Issaquah,WA,98029,53033,King County,5308,53005,53005,2017-2018
Issaquah Head Start,RENTON,WA,98059,53033,King County,5308,53005,53005,2017-2018
Creekside Elementary,Sammamish,WA,98075,53033,King County,5308,53041,53041,2017-2018
Pacific Cascade Middle School,Issaquah,WA,98029,53033,King County,5308,53005,53005,2017-2018
Gibson Ek High School,Issaquah,WA,98027,53033,King County,5308,53005,53005,2017-2018
Kahlotus Elem & High,KAHLOTUS,WA,99335,53021,Franklin County,5304,53009,53009,2017-2018
Kalama Elem School,Kalama,WA,98625,53015,Cowlitz County,5303,53020,53020,2017-2018
Kalama Jr Sr High,Kalama,WA,98625,53015,Cowlitz County,5303,53020,53020,2017-2018
Keller Elementary School,KELLER,WA,99140,53019,Ferry County,5305,53007,53007,2017-2018
Canyon View Elementary School,KENNEWICK,WA,99337,53005,Benton County,5304,53008,53008,2017-2018
Desert Hills Middle School,KENNEWICK,WA,99338,53005,Benton County,5304,53008,53008,2017-2018
Eastgate Elementary School,KENNEWICK,WA,99336,53005,Benton County,5304,53008,53008,2017-2018
Edison Elementary School - Kennewick,KENNEWICK,WA,99336,53005,Benton County,5304,53008,53008,2017-2018
Hawthorne Elementary School - Kennewick,KENNEWICK,WA,99336,53005,Benton County,5304,53008,53008,2017-2018
Highlands Middle School,KENNEWICK,WA,99336,53005,Benton County,5304,53008,53008,2017-2018
Kamiakin High School,KENNEWICK,WA,99336,53005,Benton County,5304,53008,53008,2017-2018
Kennewick High School,KENNEWICK,WA,99336,53005,Benton County,5304,53008,53008,2017-2018
Park Middle School,KENNEWICK,WA,99336,53005,Benton County,5304,53008,53008,2017-2018
Southgate Elementary School,KENNEWICK,WA,99337,53005,Benton County,5304,53008,53008,2017-2018
Vista Elementary School,KENNEWICK,WA,99336,53005,Benton County,5304,53008,53008,2017-2018
Washington Elementary School,KENNEWICK,WA,99337,53005,Benton County,5304,53008,53008,2017-2018
Westgate Elementary School,KENNEWICK,WA,99336,53005,Benton County,5304,53008,53008,2017-2018
Amistad Elementary School,KENNEWICK,WA,99336,53005,Benton County,5304,53008,53008,2017-2018
Horse Heaven Hills Middle School,KENNEWICK,WA,99337,53005,Benton County,5304,53008,53008,2017-2018
Ridge View Elementary School,KENNEWICK,WA,99338,53005,Benton County,5304,53008,53008,2017-2018
Sunset View Elementary School,KENNEWICK,WA,99336,53005,Benton County,5304,53008,53008,2017-2018
Cascade Elementary School,KENNEWICK,WA,99337,53005,Benton County,5304,53008,53008,2017-2018
Lincoln Elementary School,KENNEWICK,WA,99338,53005,Benton County,5304,53008,53008,2017-2018
Southridge High School,KENNEWICK,WA,99338,53005,Benton County,5304,53008,53008,2017-2018
Keewaydin Discovery Center,KENNEWICK,WA,99336,53005,Benton County,5304,53008,53008,2017-2018
Tri-Tech Skills Center,KENNEWICK,WA,99336,53005,Benton County,5304,53008,53008,2017-2018
Benton/Franklin Juvenile Justice Center,KENNEWICK,WA,99336,53005,Benton County,5304,53008,53008,2017-2018
