statecoursecodeid,code,name,CS_Courses
163,3151,Physics 03151,no
164,3152,Physics-Advanced Studies 03152,no
165,3153,Principles of Technology 03153,no
166,3155,AP Physics B 03155,no
167,3156,AP Physics C 03156,no
168,3157,IB Physics 03157,no
169,3159,Physical Science 03159,no
170,3160,IB Physical Science 03160,no
171,3161,Conceptual Physics 03161,no
172,3162,Particular Topics in Physics 03162,no
173,3197,Physics-Independent Study 03197,no
174,3198,Physics-Workplace Experience 03198,no
175,3199,Physics-Other 03199,no
176,3201,Integrated Science 03201,no
177,3202,Unified Science 03202,no
178,3203,Applied Biology/Chemistry 03203,no
179,3204,Technological Inquiry 03204,no
180,3205,Origins of Science 03205,no
181,3206,IB Design Technology 03206,no
182,3207,AP Environmental Science 03207,no
183,3208,IB Environmental Science 03208,no
184,3209,Aerospace 03209,no
185,3210,"Science, Technology and Society 03210",no
186,3211,Technical Science 03211,no
187,3212,Scientific Research and Design 03212,no
188,3994,Life and Physical Sciences-Proficiency Development 03994,no
189,3995,Life and Physical Sciences-Aide 03995,no
190,3997,Life and Physical Sciences-Independent Study 03997,no
191,3998,Life and Physical Sciences-Workplace Experience 03998,no
192,3999,Life and Physical Sciences-Other 03999,no
193,4001,World Geography 04001,no
194,4002,Particular Topics in Geography 04002,no
195,4003,IB Geography 04003,no
196,4004,AP Human Geography 04004,no
197,4047,Geography-Independent Study 04047,no
198,4048,Geography-Workplace Experience 04048,no
199,4049,Geography-Other 04049,no
200,4051,World History-Overview 04051,no
201,4052,World History and Geography 04052,no
202,4053,Modern World History 04053,no
203,4054,IB History 04054,no
204,4055,Modern European History 04055,no
205,4056,AP European History 04056,no
206,4057,AP World History 04057,no
207,4058,Ancient Civilizations 04058,no
208,4059,Medieval European History 04059,no
209,4060,Ancient and Medieval History 04060,no
210,4061,World Area Studies 04061,no
211,4062,World People Studies 04062,no
212,4063,Western Civilization 04063,no
213,4064,Contemporary World Issues 04064,no
214,4065,Particular Topics in World History 04065,no
215,4066,IB Islamic History 04066,no
216,4097,World History-Independent Study 04097,no
217,4098,World History-Workplace Experience 04098,no
218,4099,World History-Other 04099,no
219,4101,U.S. History-Comprehensive 04101,no
220,4102,Early U.S. History 04102,no
221,4103,Modern U.S. History 04103,no
222,4104,AP U.S. History 04104,no
223,4105,State-Specific Studies 04105,no
224,4106,Contemporary U.S. Issues 04106,no
225,4107,U.S. Ethnic Studies 04107,no
226,4108,U.S. Gender Studies 04108,no
227,4109,Particular Topics in U.S. History 04109,no
228,4111,Washington State History & Government  04111,no
229,4147,U.S. History-Independent Study 04147,no
230,4148,U.S. History-Workplace Experience 04148,no
231,4149,U.S. History-Other 04149,no
232,4151,U.S. Government-Comprehensive 04151,no
233,4152,Particular Topics in U.S. Government 04152,no
234,4153,Political Science 04153,no
235,4154,Comparative Government 04154,no
236,4155,International Relations 04155,no
237,4156,United States and World Affairs 04156,no
238,4157,AP U.S. Government and Politics 04157,no
239,4158,AP Comparative Government and Politics 04158,no
240,4159,AP Government 04159,no
241,4160,Principles of Democracy 04160,no
242,4161,Civics 04161,no
243,4162,Law Studies 04162,no
244,4163,Consumer Law 04163,no
245,4164,Business Law 04164,no
246,4165,Legal System 04165,no
247,4166,Particular Topics in Law 04166,no
248,4197,"Government, Politics and Law-Independent Study 04197",no
249,4198,"Government, Politics and Law-Workplace Experience 04198",no
250,4199,"Government, Politics and Law-Other 04199",no
251,4201,Economics 04201,no
252,4202,Comparative Economics 04202,no
253,4203,AP Microeconomics 04203,no
254,4204,AP Macroeconomics 04204,no
255,4205,AP Economics 04205,no
256,4206,IB Economics 04206,no
257,4207,Particular Topics in Economics 04207,no
258,4247,Economics-Independent Study 04247,no
259,4248,Economics-Workplace Experience 04248,no
260,4249,Economics-Other 04249,no
261,4251,Anthropology 04251,no
262,4252,Particular Topics in Anthropology 04252,no
263,4253,IB Social Anthropology 04253,no
264,4254,Psychology 04254,no
265,4255,Particular Topics in Psychology 04255,no
266,4256,AP Psychology 04256,no
267,4257,IB Psychology 04257,no
268,4258,Sociology 04258,no
269,4259,Particular Topics in Sociology 04259,no
270,4260,Social Science 04260,no
271,4261,Social Science Research 04261,no
272,4262,IB Organization Studies 04262,no
273,4297,Social Sciences-Independent Study 04297,no
274,4298,Social Sciences-Workplace Experience 04298,no
275,4299,Social Sciences-Other 04299,no
276,4301,Humanities Survey 04301,no
277,4302,Humanities 04302,no
278,4303,Issues of Western Humanities 04303,no
279,4304,IB Theory of Knowledge 04304,no
280,4305,Social Studies 04305,no
281,4306,Philosophy 04306,no
282,4307,Particular Topics in Philosophy 04307,no
283,4308,Modern Intellectual History 04308,no
284,4309,IB Philosophy 04309,no
285,4310,Particular Topics in Humanities 04310,no
286,4347,Humanities-Independent Study 04347,no
287,4348,Humanities-Workplace Experience 04348,no
288,4349,Humanities-Other 04349,no
289,4994,Social Sciences and History-Proficiency Development 04994,no
290,4995,Social Sciences and History-Aide 04995,no
291,4997,Social Sciences and History-Independent Study 04997,no
292,4998,Social Sciences and History-Workplace Experience 04998,no
293,4999,Social Sciences and History-Other 04999,no
294,5001,Dance Technique 05001,no
295,5002,Dance Repertory 05002,no
296,5003,Expressive Movement 05003,no
297,5004,Dance Appreciation 05004,no
298,5005,Choreography 05005,no
299,5047,Dance-Independent Study 05047,no
300,5048,Dance-Workplace Experience 05048,no
301,5049,Dance-Other 05049,no
302,5051,Introduction to the Theater 05051,no
303,5052,Theatre Arts 05052,no
304,5053,Drama-Comprehensive 05053,no
305,5054,Exploration in Drama 05054,no
306,5055,Drama-Acting/Performance 05055,no
307,5056,Drama-Stagecraft 05056,no
308,5057,Directing 05057,no
309,5058,Playwriting 05058,no
310,5059,History and Literature of the Theater 05059,no
311,5097,Drama-Independent Study 05097,no
312,5098,Drama-Workplace Experience 05098,no
313,5099,Drama-Other 05099,no
314,5101,General Band 05101,no
315,5102,Concert Band 05102,no
316,5103,Marching Band 05103,no
317,5104,Orchestra 05104,no
318,5105,Contemporary Band 05105,no
319,5106,Instrumental Ensembles 05106,no
320,5107,Piano 05107,no
321,5108,Guitar 05108,no
322,5109,Individual Technique-Instrumental Music 05109,no
323,5110,Chorus 05110,no
324,5111,Vocal Ensembles 05111,no
325,5112,Individual Technique-Vocal Music 05112,no
326,5113,Music Theory 05113,no
327,5114,AP Music Theory 05114,no
328,5115,IB Music 05115,no
329,5116,Music History/Appreciation 05116,no
330,5117,Music History 05117,no
331,5118,Music Appreciation 05118,no
332,5119,Composition/Songwriting 05119,no
333,5147,Music-Independent Study 05147,no
334,5148,Music-Workplace Experience 05148,no
335,5149,Music-Other 05149,no
336,5151,Art Appreciation 05151,no
337,5152,Art History 05152,no
338,5153,AP Art-History of Art 05153,no
